time_utc,mode,symbol,signal,outcome,message_id
2026-08-17 13:54:45,SUMMARY_00,SYSTEM,SUMMARY,DISPATCHED,NET_ERR
2026-08-17 14:27:11,GOLD_P4,XAUUSD,LONG @ 4471.4,OPEN,1761
2026-08-17 21:15:22,SUMMARY_00,SYSTEM,SUMMARY,DISPATCHED,NET_ERR
2026-08-18 06:19:54,REPORT_09,SYSTEM,SUMMARY,DISPATCHED,NET_ERR
2026-08-18 11:24:37,GOLD_P1,XAUUSD,LONG @ 4450.2,OPEN,1801
2026-08-18 12:44:02,GOLD_P2,XAUUSD,SHORT @ 4453.3,OPEN,1804
2026-08-18 13:31:33,GOLD_P3,XAUUSD,LONG @ 4449.7,OPEN,1805
2026-08-18 21:12:48,SUMMARY_00,SYSTEM,SUMMARY,DISPATCHED,NET_ERR
2026-08-19 06:20:30,REPORT_09,SYSTEM,SUMMARY,DISPATCHED,NET_ERR
